[ERROR] [2021-08-29 12:39:44] ChannelHandler.userEventTriggered(58) |  idle state event:READER_IDLE connect1.15.226.19:20200 long time Inactive, disconnect
[ERROR] [2021-08-29 12:39:44] ChannelHandler.userEventTriggered(58) |  idle state event:READER_IDLE connect1.15.226.19:20201 long time Inactive, disconnect
[DEBUG] [2021-08-29 12:39:44] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 1.15.226.19:20201 ,true
[DEBUG] [2021-08-29 12:39:44] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 1.15.226.19:20200 ,true
[DEBUG] [2021-08-29 12:39:44] ConnectionManager.removeConnectionContext(438) |  result: true, host: 1.15.226.19, port: 20200, ctx: 353622809
[DEBUG] [2021-08-29 12:39:44] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 1.15.226.19:20200
[DEBUG] [2021-08-29 12:39:47] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 1.15.226.19:20200
[INFO] [2021-08-29 12:39:47] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[DEBUG] [2021-08-29 12:39:44] ConnectionManager.removeConnectionContext(438) |  result: true, host: 1.15.226.19, port: 20201, ctx: 1645159734
[DEBUG] [2021-08-29 12:39:47] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 1.15.226.19:20201
[DEBUG] [2021-08-29 12:39:47] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 1.15.226.19:20201
[INFO] [2021-08-29 12:39:47] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[DEBUG] [2021-08-29 12:39:47] GroupServiceImpl.resetLatestBlockNumber(161) | g:1, resetLatestBlockNumber, latestBlockNumber: 35, nodeWithLatestBlockNumber:[], maxBlockNumber: 35
[DEBUG] [2021-08-29 12:39:47] GroupServiceImpl.removeNode(67) | g:1, removeNode=1.15.226.19:20200, blockNumberInfoSize=1, latestBlockNumber:35
[DEBUG] [2021-08-29 12:39:47] TopicManager.updateBlockNotify(158) | update block notify, peer: 1.15.226.19:20200, groupInfo: [1]
[DEBUG] [2021-08-29 12:39:47] TopicManager.updateBlockNotify(163) | add block notify, peer: 1.15.226.19:20200, topic: _block_notify_1
[INFO] [2021-08-29 12:39:47] AmopImp.sendSubscribe(216) | update subscribe inform 0 peers
[DEBUG] [2021-08-29 12:39:47] GroupServiceImpl.removeNode(67) | g:1, removeNode=1.15.226.19:20201, blockNumberInfoSize=0, latestBlockNumber:0
[DEBUG] [2021-08-29 12:39:47] TopicManager.updateBlockNotify(158) | update block notify, peer: 1.15.226.19:20201, groupInfo: [1]
[DEBUG] [2021-08-29 12:39:47] TopicManager.updateBlockNotify(163) | add block notify, peer: 1.15.226.19:20201, topic: _block_notify_1
[INFO] [2021-08-29 12:39:47] AmopImp.sendSubscribe(216) | update subscribe inform 0 peers
[INFO] [2021-08-29 12:39:47] ChannelHandler.userEventTriggered(105) |  ssl close completion event, host: 1.15.226.19, port: 20200, ctx: 353622809 
[DEBUG] [2021-08-29 12:39:47] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 1.15.226.19:20200 ,false
[DEBUG] [2021-08-29 12:39:47] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 1.15.226.19:20200
[DEBUG] [2021-08-29 12:39:47] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 1.15.226.19:20200
[INFO] [2021-08-29 12:39:47] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
[INFO] [2021-08-29 12:39:47] ChannelHandler.userEventTriggered(105) |  ssl close completion event, host: 1.15.226.19, port: 20201, ctx: 1645159734 
[DEBUG] [2021-08-29 12:39:47] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 1.15.226.19:20201 ,false
[DEBUG] [2021-08-29 12:39:47] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 1.15.226.19:20201
[DEBUG] [2021-08-29 12:39:47] BlockNumberNotifyHandler.onDisconnect(97) | onDisconnect, endpoint: 1.15.226.19:20201
[INFO] [2021-08-29 12:39:47] EventPushMsgHandler.onDisconnect(92) |  filter connection disconnect
